,Entity,Year,CM,HE,Population,LE,GDP,OE,CM_%,HE_%,OE_%
2600,Australia,2000,0.619999981,2155.341553,18991434,79.23414612,38217.44922,20.99713898,0.0619999981,5.63967924858801,1.1841712898522438
2601,Austria,2000,0.55,2708.029541,8069276,78.12683105,46469.85938,17.82221985,0.05500000000000001,5.827496741179077,1.0385892809645205
2602,Belgium,2000,0.580000019,2226.144287,10282046,77.72195435,43024.14063,20.22722816,0.0580000019,5.174174903676629,1.046592163164132
2603,Canada,2000,0.619999981,2429.605713,30588379,79.13658905,37194.39453,16.60520935,0.0619999981,6.532182453031586,1.0846825714498602
2604,Denmark,2000,0.569999981,2327.757813,5341192,76.59268188,48907.01172,15.35643196,0.056999998100000004,4.759558458256995,0.7308983562386605
2605,Finland,2000,0.430000019,1896.237793,5187953,77.46585083,39894.19531,21.62706375,0.0430000019,4.753167166965474,1.027970493343692
2606,Germany,2000,0.54000001,2692.238037,81400883,77.92682648,42928.17969,12.28860092,0.054000001,6.271493588690763,0.770678818837594
2608,Iceland,2000,0.40999999,2667.52124,280439,79.65365601,41530.51563,19.42706871,0.040999998999999995,6.42303905823189,1.2478082111128463
2609,Ireland,2000,0.70999999,1795.642944,3783095,76.53658295,47996.98047,12.11709023,0.07099999900000001,3.741158144567755,0.4533195080242688
2610,Israel,2000,0.69000001,1793.571777,5945949,78.95365906,29950.31836,29.48983002,0.06900000099999999,5.988489856573264,1.7659954794683974
2611,Japan,2000,0.45,1908.959961,127524168,81.07609558,36323.09375,15.91636372,0.045,5.255499363954922,0.8364843940693519
2613,Luxembourg,2000,0.45,3287.651611,436106,77.87316895,99301.52344,14.25088024,0.045,3.3107766095718216,0.4718148096440127
2614,Malta,2000,0.780000019,1211.157349,393649,78.34877777,27482.88867,26.37362862,0.0780000019,4.406950679540776,1.1622728056886509
2615,Netherlands,2000,0.619999981,2466.850098,15926188,77.98780823,47422.20313,11.03255558,0.0619999981,5.201888430272935,0.5739012322794511
2616,New Zealand,2000,0.74000001,1606.595337,3858992,78.63658905,32837.09766,15.36159515,0.074000001,4.892622830540377,0.7515849114440832
2617,Norway,2000,0.49000001,2857.773438,4499375,78.63414764,57127.38281,17.94157219,0.049000000999999994,5.002458186303879,0.8975196467702752
2618,Singapore,2000,0.39000001,1465.142578,4028872,77.95121765,56106.73047,48.17884445,0.039000001,2.6113490587076797,1.2581178010413123
2619,Slovenia,2000,0.55,1406.265137,1987710,75.4121933,26276.94531,13.2732687,0.05500000000000001,5.3517070588293585,0.7103464579552878
2620,South Korea,2000,0.75,716.9293823,47379237,75.90975952,22963.63867,43.63845444,0.075,3.1220199577369505,1.3624012568647463
2621,Sweden,2000,0.40999999,2173.662598,8881642,79.64390564,40625.36328,14.46247673,0.040999998999999995,5.350506241676124,0.773815720139607
2622,Switzerland,2000,0.55999999,3362.197998,7143764,79.68048859,59389.42578,31.04061699,0.055999999,5.661273793848088,1.757294315103627
2623,United Kingdom,2000,0.65,1904.535645,58923305,77.74146271,38915.19922,17.71292305,0.065,4.894066285599758,0.8668821951842783
2624,United States,2000,0.839999962,4543.436035,281710914,76.63658905,50124.89063,15.11238384,0.0839999962,9.064231318802578,1.36982142904294
2625,World,2000,7.580000305,598.5001221,6143776621,67.54895782,11097.31543,19.2780571,0.7580000305000001,5.393197353677456,1.039703665357629
2626,Australia,2001,0.60999999,2279.328369,19194676,79.63414764,38474.15234,20.43909645,0.060999999,5.924310817447888,1.2108756019759574
2627,Austria,2001,0.54000001,2761.801025,8097755,78.5756073,46878.91797,18.46295738,0.054000001,5.891349767858134,1.087717396746376
2628,Belgium,2001,0.55999999,2352.505615,10319026,77.97316742,43347.89063,19.58826447,0.055999999,5.4270359660174305,1.0630621579055137
2629,Canada,2001,0.619999981,2617.796631,30880072,79.3390274,37309.64844,15.92599487,0.0619999981,7.016406587721791,1.1174325532189144
2630,Denmark,2001,0.55999999,2492.487305,5358059,76.79268646,49133.22266,15.11594772,0.055999999,5.072916389482359,0.7668193893134648
2631,Finland,2001,0.419999981,2011.47583,5200475,77.96585083,40842.33984,21.2191143,0.0419999981,4.924976967235382,1.0450364919263493
2632,Germany,2001,0.519999981,2818.601074,81453894,78.32926941,43576.63672,12.28204536,0.0519999981,6.468147351781214,0.7944207916974074
2634,Iceland,2001,0.39000001,2822.078613,282910,80.69024658,42626.92188,19.47368622,0.039000001,6.620413786724963,1.2892386072924396
2635,Ireland,2001,0.69000001,2100.944092,3842253,77.13414764,49744.625,10.64706802,0.06900000099999999,4.223459503413686,0.4496746061256094
2636,Israel,2001,0.65999999,1913.08313,6060679,79.40731812,29282.52539,30.33019829,0.065999999,6.533190373851154,1.9815295950522471
2637,Japan,2001,0.430000019,2012.817505,127713824,81.41707611,36375.58594,15.78570175,0.0430000019,5.533429779853053,0.8734907215932844
2639,Luxembourg,2001,0.419999981,3604.035889,440197,77.8243866,101143.1484,13.6576767,0.0419999981,3.5633020585307387,0.48666427499857307
2640,Malta,2001,0.75,1301.602905,396324,78.84390259,26956.81055,29.66666603,0.075,4.828475173595788,1.432447604092125
2641,Netherlands,2001,0.60999999,2685.192383,16018112,78.19024658,48160.78516,10.4662714,0.060999999,5.575474681484616,0.5835443120024654
2642,New Zealand,2001,0.719999981,1693.045532,3907941,78.69268036,33775.23438,16.98616219,0.0719999981,5.012683296144753,0.8514625147541859
2643,Norway,2001,0.469999981,3037.714111,4523139,78.78536224,58018.3125,16.9568634,0.0469999981,5.235785013567914,0.8878249126683827
2644,Singapore,2001,0.35999999,1384.789185,4077150,78.2512207,54029.73438,55.58973694,0.035999999000000005,2.5630131276614283,1.4247722554046545
2645,Slovenia,2001,0.519999981,1494.484863,1987457,75.75853729,27079.47461,12.90347862,0.0519999981,5.518884263907068,0.7121280510557928
2646,South Korea,2001,0.70999999,866.6920776,47706226,76.4121933,23893.89648,39.20520782,0.07099999900000001,3.6272530029811194,1.4220720779759384
2647,Sweden,2001,0.40999999,2368.908203,8897802,79.79512024,41103.72656,16.87992668,0.040999998999999995,5.763244360683582,0.9728314224726236
2648,Switzerland,2001,0.55,3591.506104,7179174,80.18048859,59944.77734,30.11981773,0.05500000000000001,5.991357818595911,1.8045860545131924
2649,United Kingdom,2001,0.64000001,2102.662842,59124277,77.99268341,39569.15234,17.89385605,0.064000001,5.313894075700081,0.9508605565552507
2650,United States,2001,0.830000019,4894.280762,284607992,76.836586,50126.71875,14.41044331,0.0830000019,9.76381635193307,1.4070092202878253
2651,World,2001,7.319999695,639.7196655,6222912459,67.82174683,11206.16016,18.94212341,0.7319999695,5.708642892535636,1.0813381817402938
2652,Australia,2002,0.6,2438.218262,19401366,79.93658447,39533.22266,19.92001152,0.06,6.16751708548923,1.2285701139274228
2653,Austria,2002,0.530000019,2935.818604,8134403,78.67804718,47419.27734,18.61328697,0.0530000019,6.19119220849771,1.1523843726319596
2654,Belgium,2002,0.54000001,2524.578613,10364879,78.0756073,43890.59766,20.87109566,0.054000001,5.7519804869296465,1.2005013497716204
2655,Canada,2002,0.619999981,2758.297852,31178260,79.490242,38169.10547,15.9083395,0.0619999981,7.226519505855215,1.1496192570251702
2656,Denmark,2002,0.55,2670.243164,5372798,76.89511871,49204.89844,14.72838497,0.05500000000000001,5.426783203822827,0.7992775217463257
2657,Finland,2002,0.40999999,2176.567871,5213368,78.11951447,41439.01953,20.74457169,0.040999998999999995,5.252459869192277,1.0896003030530723
2658,Germany,2002,0.50999999,2973.188965,81535124,78.22927094,43417.30859,12.57544136,0.050999999,6.847934755874742,0.8611580195960872
2660,Iceland,2002,0.370000005,3110.162598,285329,80.50244141,42484.51563,18.56656265,0.0370000005,7.320696851263595,1.3592017673064327
2661,Ireland,2002,0.65,2369.668945,3907995,77.63414764,51797.42578,10.46707439,0.065,4.5748778232044405,0.4788558650064216
2662,Israel,2002,0.64000001,1920.094727,6169311,79.45121765,28642.44531,27.84285927,0.064000001,6.703668999691284,1.866493125510661
2663,Japan,2002,0.40999999,2097.134277,127893075,81.56341553,36306.33203,15.978508,0.040999998999999995,5.776221831682511,0.9229540674731366
2665,Luxembourg,2002,0.4,3979.253662,443727,77.96585083,103317.3281,13.8617382,0.04,3.8514871950119662,0.5338830717790822
2666,Malta,2002,0.730000019,1515.568604,398720,78.7390213,27442.9707,28.73563194,0.0730000019,5.522611311172663,1.5869572598553847
2667,Netherlands,2002,0.59000001,2987.452637,16110355,78.29268646,47958.33203,9.812932968,0.059000001,6.229267179540814,0.6112738127259644
2668,New Zealand,2002,0.7,1834.470825,3963202,78.84634399,34745.16406,16.05667496,0.07,5.279787488791612,0.8477583156540156
2669,Norway,2002,0.45999999,3429.115723,4546017,78.98780823,58540.84375,16.82538414,0.045999999,5.857646564925023,0.9855715361121496
2670,Singapore,2002,0.34000001,1541.760864,4104407,78.55121613,55634.71875,53.08752823,0.034000001,2.771220738848437,1.4711725920517786
2671,Slovenia,2002,0.49000001,1624.022339,1987265,76.00731659,27994.0625,12.55521584,0.049000000999999994,5.801309970641096,0.7283669883614303
2672,South Korea,2002,0.680000019,884.5716553,47999551,76.76585388,25591.39844,38.63632584,0.0680000019,3.4565194136377957,1.335472103375956
2673,Sweden,2002,0.4,2543.59668,8920703,79.84634399,41870.25781,16.50955009,0.04,6.074948693992768,1.0029466975765369
2674,Switzerland,2002,0.54000001,3839.387451,7220378,80.38536835,59489.75,29.04967117,0.054000001,6.453863818556978,1.8748262170504075
2675,United Kingdom,2002,0.630000019,2307.854736,59326294,78.14390564,40238.58594,17.2661705,0.0630000019,5.735427033746306,0.9902886105497296
2676,United States,2002,0.819999981,5322.742188,287279312,76.93658447,50528.78906,14.32713127,0.0819999981,10.534078269082508,1.5092312216959947
2677,World,2002,7.05,678.0507202,6302062210,68.07013702,11363.83203,18.66885567,0.705,5.966743598550004,1.1139227506122646
2678,Australia,2003,0.59000001,2561.601074,19624163,80.2390213,40262.91406,19.14758873,0.059000001,6.362184987859272,1.2182050157170936
2679,Austria,2003,0.519999981,3073.730713,8175855,78.63170624,47633.11328,18.88836861,0.0519999981,6.452928438525109,1.2188529096081397
2680,Belgium,2003,0.519999981,2851.01123,10419029,78.12926483,44160.91016,21.12304306,0.0519999981,6.455961210198029,1.3636954663670267
2681,Canada,2003,0.619999981,2927.970947,31488046,79.74146271,39268.21094,15.2514801,0.0619999981,7.4563390511317245,1.1372020665718838
2682,Denmark,2003,0.54000001,2744.903564,5386968,77.14390564,49262.64453,14.55719471,0.054000001,5.5719776926072395,0.811123641910601
2683,Finland,2003,0.4,2297.541992,5227106,78.36829376,42168.69531,20.33722687,0.04,5.448454060790338,1.1080644632506587
2684,Germany,2003,0.5,3107.751709,81614371,78.38048553,43089.47266,12.8403635,0.05,7.2123224471134675,0.9260884190014644
2686,Iceland,2003,0.35,3195.446533,287955,80.96341705,43095.35547,17.38764763,0.035,7.414828113494616,1.2892641847446202
2687,Ireland,2003,0.6,2560.674561,3980077,78.13902283,52494.20313,13.14827919,0.06,4.878013967863426,0.6413748954218802
2688,Israel,2003,0.60999999,1799.223022,6278374,79.64878082,28453.25391,28.62854576,0.060999999,6.3234350197383105,1.810307488229647
2689,Japan,2003,0.4,2195.607178,128058368,81.76000214,36784.88281,16.88677597,0.04,5.9687757858049295,1.0079337951004854
2691,Luxembourg,2003,0.379999995,4217.793457,447317,77.72682953,104743.0,13.25509262,0.0379999995,4.026802227356482,0.5337563648603246
2692,Malta,2003,0.719999981,1656.136597,400858,78.54634094,28373.77734,28.83597946,0.0719999981,5.8368562534155695,1.6831146703446391
2693,Netherlands,2003,0.569999981,3095.840576,16200948,78.49268341,47806.88281,9.604377747,0.056999998100000004,6.475721473629374,0.62195275217096
2694,New Zealand,2003,0.69000001,1852.587402,4022074,79.14633942,35616.11328,15.37909985,0.06900000099999999,5.201542873125095,0.799950472198467
2695,Norway,2003,0.44000001,3562.472168,4570096,79.39024353,58728.15625,16.59880066,0.044000001,6.066037818103646,1.0068895253872374
2696,Singapore,2003,0.320000005,1752.514038,4129227,79.03902435,59022.10156,48.45797729,0.0320000005,2.969250486986556,1.4388387266671598
2697,Slovenia,2003,0.469999981,1708.695068,1987855,76.85853577,28805.38477,12.48665047,0.0469999981,5.9318598992628555,0.7406906119910469
2698,South Korea,2003,0.64000001,969.53479,48260901,77.21463776,26260.36914,38.73109055,0.064000001,3.692007468863783,1.429954755878395
2699,Sweden,2003,0.39000001,2648.550293,8951439,80.09512329,42678.28516,15.88181114,0.039000001,6.205849843944385,0.985601351847232
2700,Switzerland,2003,0.530000019,3936.012695,7268363,80.53658295,59022.35156,28.62252808,0.0530000019,6.668681594291936,1.908745261892001
2701,United Kingdom,2003,0.619999981,2458.642578,59561429,78.44634247,41265.17578,16.50909996,0.0619999981,5.95815365262937,0.9836375422829738
2702,United States,2003,0.810000038,5732.229492,289815567,77.03658295,51529.72656,14.15007973,0.0810000038,11.124121695708062,1.5740720892049187
2703,World,2003,6.780000305,716.9776001,6381477292,68.32601929,11639.66797,18.55727768,0.6780000305,6.159777082541642,1.1430869376762551
2704,Australia,2004,0.580000019,2753.679688,19879654,80.490242,41472.53906,19.21869659,0.0580000019,6.639766337952302,1.276076546776007
2705,Austria,2004,0.50999999,3288.346436,8216809,79.18048859,48633.27344,19.30190468,0.050999999,6.761515734812523,1.305101322056715
2706,Belgium,2004,0.50999999,3008.062256,10480118,78.87805176,45540.46875,20.2767334,0.050999999,6.6052509747168555,1.3393291305442383
2707,Canada,2004,0.60999999,3086.56543,31815490,79.89268494,40426.23047,15.2878685,0.060999999,7.63505623481397,1.167237357079411
2708,Denmark,2004,0.519999981,2968.252441,5402754,77.49268341,50446.54297,14.87114143,0.0519999981,5.883956097378539,0.8750114329202711
2709,Finland,2004,0.39000001,2505.795654,5242175,78.71463776,43724.96484,19.85958481,0.039000001,5.730812278910457,1.138115524832116
2710,Germany,2004,0.49000001,3175.912354,81646474,78.68048859,43605.27734,14.02402973,0.049000000999999994,7.2833210742743555,1.021415112787591
2712,Iceland,2004,0.34000001,3330.78125,291102,80.99755859,46051.74219,17.70444489,0.034000001,7.232693252424377,1.2805081909382225
2713,Ireland,2004,0.55999999,2822.845459,4058131,78.53902435,55040.82031,12.21867085,0.055999999,5.128639876915381,0.6266516256421356
2714,Israel,2004,0.580000019,1885.404419,6396511,80.14633942,29328.70508,28.72549057,0.0580000019,6.4285293669024135,1.8466265970792337
2715,Japan,2004,0.39000001,2315.775146,128204183,82.03024292,37576.39063,16.58894539,0.039000001,6.162846157318649,1.0223511835073043
2717,Luxembourg,2004,0.35,4737.710938,451822,79.12194824,107634.8359,12.77582836,0.035,4.401652028718335,0.5623475081935123
2718,Malta,2004,0.70999999,1738.628662,402820,79.25366211,28223.38281,28.17258835,0.07099999900000001,6.16024193026208,1.7354996003768302
2719,Netherlands,2004,0.55,3264.572266,16287183,79.09512329,48586.70313,9.960484505,0.05500000000000001,6.719065208572014,0.6692514489806615
2720,New Zealand,2004,0.669999981,1984.979736,4080421,79.54878235,36504.19922,14.10670567,0.0669999981,5.43767505770258,0.7670768156811056
2721,Norway,2004,0.419999981,3762.128662,4598210,79.84146118,60699.56641,16.76214218,0.0419999981,6.197949811681365,1.0389091596790727
2722,Singapore,2004,0.3,1706.291138,4177202,79.490242,64011.42578,51.00744247,0.03,2.6656040186705554,1.3596564363013919
2723,Slovenia,2004,0.44000001,1806.14917,1990226,77.20731354,30041.81445,12.16907501,0.044000001,6.012117453844403,0.7316190826476275
2724,South Korea,2004,0.6,1034.135742,48493434,77.66585541,27515.95117,38.02526474,0.06,3.7583136254707923,1.429108705844761
2725,Sweden,2004,0.370000005,2755.768311,8990653,80.49755859,44354.39063,16.28187943,0.0370000005,6.213067684749296,1.011604189335173
2726,Switzerland,2004,0.519999981,4119.041992,7323728,81.0878067,60271.93359,28.75733757,0.0519999981,6.834096314247681,1.965304146947134
2727,United Kingdom,2004,0.60999999,2685.32373,59872760,78.74633789,41997.60547,15.21292496,0.060999999,6.3939924668281325,0.9727132759266167
2728,United States,2004,0.810000038,6097.287598,292354663,77.48780823,52994.55078,13.97764206,0.0810000038,11.50549916596538,1.6081974906349263
2729,World,2004,6.540000153,757.2509766,6461454653,68.6525116,12079.05566,18.53862381,0.6540000153,6.269123993754326,1.1622093133845623
2730,Australia,2005,0.569999981,2841.891357,20178543,80.84146118,42222.27344,19.64301491,0.056999998100000004,6.730787154411456,1.322129524301407
2731,Austria,2005,0.49000001,3381.659912,8253656,79.33171082,49387.02734,19.18325996,0.049000000999999994,6.847263530803958,1.313528363260398
2732,Belgium,2005,0.49000001,3082.290039,10546885,78.98048401,46342.1875,20.34818459,0.049000000999999994,6.651153528305068,1.353388997303813
2733,Canada,2005,0.60999999,3290.419678,32164313,80.19268036,42046.87109,15.36829281,0.060999999,7.825599367327382,1.2026610249083796
2734,Denmark,2005,0.5,3109.049072,5421701,77.84390259,51483.27344,14.70920753,0.05,6.038949865189458,0.8882816683033725
2735,Finland,2005,0.370000005,2649.95752,5258933,78.81707001,44786.91016,19.57610703,0.0370000005,5.91681254753476,1.1582815570698741
2736,Germany,2005,0.469999981,3277.212158,81602739,78.93170929,43949.28906,14.12018967,0.0469999981,7.456803575425116,1.052914808169368
2738,Iceland,2005,0.320000005,3359.114014,294976,81.50244141,48104.65234,17.58861542,0.0320000005,6.982929614079818,1.2282006348697894
2739,Ireland,2005,0.519999981,3128.888184,4141218,78.94390106,56943.82813,13.55300426,0.0519999981,5.494692377999069,0.7446958920641091
2740,Israel,2005,0.55999999,1877.496216,6529470,80.15122223,30014.61328,30.24324989,0.055999999,6.2552737177895095,1.8917980617745749
2741,Japan,2005,0.370000005,2453.009521,128326115,81.92512512,38250.63672,15.67343521,0.0370000005,6.412990034535561,1.0051358380866877
2743,Luxembourg,2005,0.34000001,4941.683105,457848,79.43170929,108632.3594,12.92818832,0.034000001,4.548997308255094,0.5881029386829495
2744,Malta,2005,0.7,1938.25708,404659,79.30000305,28992.94531,28.85906029,0.07,6.6852713971473365,1.929306503052875
2745,Netherlands,2005,0.530000019,3425.701416,16367153,79.34634399,49467.43359,9.884864807,0.0530000019,6.925165037655232,0.6845432016338502
2746,New Zealand,2005,0.65999999,2123.63501,4135353,79.85121918,37293.21484,14.07014275,0.065999999,5.694427308321591,0.8012140510758304
2747,Norway,2005,0.40999999,3995.396729,4632359,80.04146576,61870.36328,16.71413231,0.040999998999999995,6.4576907540019866,1.0793469767945285
2748,Singapore,2005,0.29000001,1781.323364,4265693,79.990242,67125.5625,49.99448395,0.029000000999999997,2.6537183416526307,1.3267127903957305
2749,Slovenia,2005,0.419999981,1910.00293,1994979,77.61219788,31128.83008,13.0193758,0.0419999981,6.135800558811107,0.7988429330901181
2750,South Korea,2005,0.55999999,1150.74939,48701069,78.16828918,28640.70703,37.73801804,0.055999999,4.01788052506747,1.5162684773756085
2751,Sweden,2005,0.35999999,2796.842041,9038627,80.54634094,45440.29688,16.6356926,0.035999999000000005,6.154981884000402,1.0239238658079952
2752,Switzerland,2005,0.50999999,4189.06543,7386818,81.23658752,61613.39063,27.14404678,0.050999999,6.798952934040144,1.845510964966039
2753,United Kingdom,2005,0.6,2761.297363,60287953,79.04878235,42791.89844,13.94338036,0.06,6.452850805092723,0.8997455318174007
2754,United States,2005,0.8,6454.403809,294993509,77.48780823,54353.07031,13.91825485,0.08,11.87495714995976,1.6527867994596959
2755,World,2005,6.25,800.4309082,6542205330,68.92021179,12473.06836,18.68055916,0.625,6.417273481534899,1.1987825691771188
2756,Australia,2006,0.55999999,3012.346924,20526300,81.04146576,42738.46484,19.74942017,0.055999999,7.048327391443103,1.392003791493299
2757,Austria,2006,0.469999981,3591.060303,8285344,79.88048553,50840.69531,18.80627632,0.0469999981,7.063357967674498,1.3283546168716023
2758,Belgium,2006,0.480000019,3237.00708,10619484,79.38048553,47212.57813,20.49900055,0.0480000019,6.856238757152573,1.4054604205380192
2759,Canada,2006,0.6,3563.675049,32536994,80.34390259,43358.18359,15.87159061,0.06,8.219152081412181,1.3045101699750354
2760,Denmark,2006,0.480000019,3424.716309,5444293,78.09512329,53322.28906,14.52643013,0.0480000019,6.422673087320756,0.9329851185079634
2761,Finland,2006,0.35999999,2844.422363,5277490,79.21463776,46412.19922,18.81658745,0.035999999000000005,6.128609311351655,1.1531951305393269
2762,Germany,2006,0.45999999,3470.145264,81472235,79.13170624,45678.08203,14.50665569,0.045999999,7.596959219349256,1.1020647168607083
2764,Iceland,2006,0.30999999,3438.628906,299727,81.15853882,49956.84766,16.94632339,0.030999999,6.883198334296179,1.1664490493049238
2765,Ireland,2006,0.49000001,3371.895264,4230619,79.24146271,58189.77734,13.92956257,0.049000000999999994,5.794652287975227,0.8071697161674458
2766,Israel,2006,0.530000019,1874.470825,6680641,80.55365753,31192.18164,25.72410393,0.0530000019,6.009425203513915,1.5458707849475337
2767,Japan,2006,0.35999999,2572.188477,128422740,82.32195282,38751.00391,16.42206764,0.035999999000000005,6.637733780972386,1.0900531312744148
2769,Luxembourg,2006,0.320000005,5267.283203,465611,79.28780365,113346.0391,13.37627888,0.0320000005,4.647081843197818,0.6216066271279844
2770,Malta,2006,0.69000001,2053.378662,406330,79.43902588,29612.62305,29.62184906,0.06900000099999999,6.934132982859823,2.0540184058024122
2771,Netherlands,2006,0.50999999,3722.015381,16440091,79.69756317,51097.36328,8.326216698,0.050999999,7.284163295480322,0.6064952206178696
2772,New Zealand,2006,0.65,2395.968262,4185881,80.04878235,37902.75,13.83843422,0.065,6.32135732103871,0.8747768746830962
